卡片编号,网站,你的判断（真做出来的 / 碰巧对了 / 看不出来）,"为什么（判""碰巧对了""的必须写）"
gi-171-n1,GitLab 代码托管网站,,
gi-176-w0,GitLab 代码托管网站,,
gi-206-n6,GitLab 代码托管网站,,
gi-293-n4,GitLab 代码托管网站,,
gi-295-n7,GitLab 代码托管网站,,
gi-315-n4,GitLab 代码托管网站,,
gi-341-n1,GitLab 代码托管网站,,
gi-342-n3,GitLab 代码托管网站,,
gi-357-w4,GitLab 代码托管网站,,
gi-394-w5,GitLab 代码托管网站,,
gi-395-w6,GitLab 代码托管网站,,
gi-412-w6,GitLab 代码托管网站,,
gi-452-n6,GitLab 代码托管网站,,
gi-475-w4,GitLab 代码托管网站,,
gi-525-n5,GitLab 代码托管网站,,
gi-525-w0,GitLab 代码托管网站,,
gi-526-w5,GitLab 代码托管网站,,
gi-526-w6,GitLab 代码托管网站,,
gi-527-n1,GitLab 代码托管网站,,
gi-527-n2,GitLab 代码托管网站,,
gi-527-n4,GitLab 代码托管网站,,
gi-527-w1,GitLab 代码托管网站,,
gi-527-w3,GitLab 代码托管网站,,
gi-527-w4,GitLab 代码托管网站,,
gi-527-w5,GitLab 代码托管网站,,
gi-527-w6,GitLab 代码托管网站,,
gi-537-n0,GitLab 代码托管网站,,
gi-537-n6,GitLab 代码托管网站,,
gi-537-n7,GitLab 代码托管网站,,
gi-576-w0,GitLab 代码托管网站,,
gi-579-w3,GitLab 代码托管网站,,
gi-670-w5,GitLab 代码托管网站,,
gi-748-w1,GitLab 代码托管网站,,
gi-755-w0,GitLab 代码托管网站,,
gi-755-w1,GitLab 代码托管网站,,
gi-783-n2,GitLab 代码托管网站,,
gi-783-n4,GitLab 代码托管网站,,
gi-789-n7,GitLab 代码托管网站,,
gi-807-w5,GitLab 代码托管网站,,
gi-809-n5,GitLab 代码托管网站,,
ma-101-n2,地图网站,,
ma-101-n3,地图网站,,
ma-101-n4,地图网站,,
ma-101-w6,地图网站,,
ma-138-w7,地图网站,,
ma-151-n5,地图网站,,
ma-155-n2,地图网站,,
ma-18-w5,地图网站,,
ma-218-w7,地图网站,,
ma-223-w7,地图网站,,
ma-250-n3,地图网站,,
ma-253-n4,地图网站,,
ma-253-n5,地图网站,,
ma-253-n6,地图网站,,
ma-256-w1,地图网站,,
ma-287-n3,地图网站,,
ma-36-n6,地图网站,,
ma-365-w0,地图网站,,
ma-370-n0,地图网站,,
ma-372-w2,地图网站,,
ma-373-n0,地图网站,,
ma-377-n6,地图网站,,
ma-40-n2,地图网站,,
ma-40-w2,地图网站,,
ma-53-n1,地图网站,,
ma-53-n3,地图网站,,
ma-56-w3,地图网站,,
ma-70-n2,地图网站,,
ma-758-n0,地图网站,,
ma-761-w0,地图网站,,
ma-765-n2,地图网站,,
ma-89-n1,地图网站,,
ma-89-n2,地图网站,,
ma-89-n5,地图网站,,
ma-89-n6,地图网站,,
ma-90-n5,地图网站,,
ma-91-n1,地图网站,,
ma-92-n3,地图网站,,
ma-92-n5,地图网站,,
ma-92-w4,地图网站,,
re-401-w6,论坛网站,,
re-402-w3,论坛网站,,
re-406-n3,论坛网站,,
re-582-n0,论坛网站,,
re-583-w3,论坛网站,,
re-604-n4,论坛网站,,
re-608-n6,论坛网站,,
re-608-w7,论坛网站,,
re-621-n2,论坛网站,,
re-629-n4,论坛网站,,
re-635-n3,论坛网站,,
re-647-n0,论坛网站,,
re-647-n3,论坛网站,,
re-647-w1,论坛网站,,
re-69-n2,论坛网站,,
re-714-n2,论坛网站,,
re-723-n6,论坛网站,,
re-723-w0,论坛网站,,
re-723-w3,论坛网站,,
re-723-w4,论坛网站,,
re-723-w5,论坛网站,,
re-724-n5,论坛网站,,
re-724-w1,论坛网站,,
re-724-w2,论坛网站,,
re-726-n1,论坛网站,,
re-726-n3,论坛网站,,
re-726-n4,论坛网站,,
re-726-n5,论坛网站,,
re-726-n6,论坛网站,,
re-726-n7,论坛网站,,
re-726-w0,论坛网站,,
re-726-w1,论坛网站,,
re-726-w3,论坛网站,,
re-726-w5,论坛网站,,
re-726-w6,论坛网站,,
re-726-w7,论坛网站,,
re-728-w7,论坛网站,,
re-730-n5,论坛网站,,
re-730-w6,论坛网站,,
re-733-w0,论坛网站,,
sh-150-w0,购物网站（顾客端）,,
sh-191-n0,购物网站（顾客端）,,
sh-191-w0,购物网站（顾客端）,,
sh-191-w2,购物网站（顾客端）,,
sh-192-n2,购物网站（顾客端）,,
sh-22-w6,购物网站（顾客端）,,
sh-225-w7,购物网站（顾客端）,,
sh-226-w4,购物网站（顾客端）,,
sh-232-n4,购物网站（顾客端）,,
sh-233-n0,购物网站（顾客端）,,
sh-234-n5,购物网站（顾客端）,,
sh-234-w3,购物网站（顾客端）,,
sh-235-n5,购物网站（顾客端）,,
sh-235-w6,购物网站（顾客端）,,
sh-235-w7,购物网站（顾客端）,,
sh-272-w1,购物网站（顾客端）,,
sh-278-n0,购物网站（顾客端）,,
sh-283-w0,购物网站（顾客端）,,
sh-285-w0,购物网站（顾客端）,,
sh-334-w2,购物网站（顾客端）,,
sh-336-n2,购物网站（顾客端）,,
sh-351-w3,购物网站（顾客端）,,
sh-376-w0,购物网站（顾客端）,,
sh-465-w7,购物网站（顾客端）,,
sh-508-w1,购物网站（顾客端）,,
sh-511-n6,购物网站（顾客端）,,
sh-511-w6,购物网站（顾客端）,,
sh-513-n5,购物网站（顾客端）,,
sh-515-n1,购物网站（顾客端）,,
sh-521-w6,购物网站（顾客端）,,
sh-531-n6,购物网站（顾客端）,,
sh-586-n1,购物网站（顾客端）,,
sh-793-n0,购物网站（顾客端）,,
sh-794-n3,购物网站（顾客端）,,
sh-794-w1,购物网站（顾客端）,,
sh-795-n3,购物网站（顾客端）,,
sh-795-n6,购物网站（顾客端）,,
sh-798-n7,购物网站（顾客端）,,
sh-798-w5,购物网站（顾客端）,,
sh-798-w6,购物网站（顾客端）,,
